USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
MO|2908002|1600000US2908002|02393401|Brashear city|25|A|907223|0|0.35|0.|40.148339|-92.378842
MO|2908038|1600000US2908038|02393402|Braymer city|25|A|1531007|2346|0.591|0.001|39.590235|-93.795891
MO|2908128|1600000US2908128|02393406|Breckenridge city|25|A|1423159|3295|0.549|0.001|39.761452|-93.805152
MO|2908164|1600000US2908164|02393407|Breckenridge Hills city|25|A|2074194|0|0.801|0.|38.715769|-90.368438
MO|2908236|1600000US2908236|02393411|Brentwood city|25|A|5058742|0|1.953|0.|38.619423|-90.347528
MO|2908272|1600000US2908272|02587056|Brewer CDP|57|S|6059208|0|2.339|0.|37.783578|-89.917995
MO|2908294|1600000US2908294|02806406|Briarwood Estates CDP|57|S|1762204|329791|0.68|0.127|38.156103|-90.586594
MO|2908398|1600000US2908398|02393417|Bridgeton city|25|A|37691259|1798705|14.553|0.694|38.773317|-90.416997
MO|2908470|1600000US2908470|02397456|Brimson village|47|A|225333|0|0.087|0.|40.144945|-93.738397
MO|2908614|1600000US2908614|02393422|Bronaugh city|25|A|738511|7841|0.285|0.003|37.693669|-94.468611
MO|2908650|1600000US2908650|02393426|Brookfield city|25|A|11264236|40636|4.349|0.016|39.785329|-93.077967
MO|2908776|1600000US2908776|02396606|Brooklyn Heights town|43|A|296660|0|0.115|0.|37.169412|-94.385535
MO|2908812|1600000US2908812|02806385|Broseley CDP|57|S|1341958|0|0.518|0.|36.675396|-90.24412
MO|2908884|1600000US2908884|02393438|Browning city|25|A|1354603|4333|0.523|0.002|40.034946|-93.160347
MO|2908902|1600000US2908902|02396610|Brownington town|43|A|313961|622|0.121|0.|38.244418|-93.722721
MO|2908974|1600000US2908974|02396614|Brumley town|43|A|1172027|0|0.453|0.|38.088523|-92.484333
MO|2909046|1600000US2909046|02393445|Brunswick city|25|A|3114472|127426|1.203|0.049|39.427184|-93.127184
MO|2909388|1600000US2909388|02393448|Bucklin city|25|A|3060511|625|1.182|0.|39.784024|-92.888132
MO|2909424|1600000US2909424|02393451|Buckner city|25|A|4624600|7094|1.786|0.003|39.132481|-94.196811
MO|2909496|1600000US2909496|02804676|Buell CDP|57|S|228318|1896|0.088|0.001|39.03241|-91.440732
MO|2909514|1600000US2909514|02393455|Buffalo city|25|A|7776551|2226|3.003|0.001|37.64519|-93.096564
MO|2909642|1600000US2909642|02397491|Bull Creek village|47|A|431845|0|0.167|0.|36.715166|-93.201927
MO|2909658|1600000US2909658|02393461|Bunceton city|25|A|2445618|9226|0.944|0.004|38.789683|-92.798688
MO|2909694|1600000US2909694|02393462|Bunker city|25|A|1716867|1016|0.663|0.|37.457594|-91.211643
MO|2909784|1600000US2909784|02806386|Burfordville CDP|57|S|868920|0|0.335|0.|37.367711|-89.809776
MO|2909802|1600000US2909802|02787934|Burgess CDP|57|S|287928|214|0.111|0.|37.556935|-94.615528
MO|2909838|1600000US2909838|02393470|Burlington Junction city|25|A|2588805|0|1.|0.|40.446557|-95.066716
MO|2910054|1600000US2910054|02393483|Butler city|25|A|10533062|24287|4.067|0.009|38.259362|-94.339531
MO|2910144|1600000US2910144|02397515|Butterfield city|25|A|1198493|368|0.463|0.|36.745994|-93.903979
MO|2910240|1600000US2910240|02393486|Byrnes Mill city|25|A|13339486|211168|5.15|0.082|38.439042|-90.573597
MO|2910288|1600000US2910288|02393489|Cabool city|25|A|10424175|158948|4.025|0.061|37.126482|-92.103217
MO|2910342|1600000US2910342|02393490|Cainsville city|25|A|3551073|0|1.371|0.|40.439802|-93.774675
MO|2910360|1600000US2910360|02397523|Cairo village|47|A|777221|0|0.3|0.|39.511164|-92.441007
MO|2910432|1600000US2910432|02397530|Caledonia village|47|A|424340|0|0.164|0.|37.764771|-90.772354
MO|2910450|1600000US2910450|02393494|Calhoun city|25|A|2548547|28048|0.984|0.011|38.468085|-93.623939
MO|2910468|1600000US2910468|02393495|California city|25|A|10011390|35245|3.865|0.014|38.630306|-92.567079
MO|2910486|1600000US2910486|02393496|Callao city|25|A|1338366|1290|0.517|0.|39.762397|-92.623349
MO|2910612|1600000US2910612|02397535|Calverton Park city|25|A|1065447|9956|0.411|0.004|38.765206|-90.311575
MO|2910738|1600000US2910738|02393509|Camden city|25|A|1152796|0|0.445|0.|39.19906|-94.023381
MO|2910792|1600000US2910792|02393510|Camden Point city|25|A|1600998|0|0.618|0.|39.452795|-94.75019
MO|2910810|1600000US2910810|02393511|Camdenton city|25|A|14757870|10763|5.698|0.004|38.013237|-92.751393
MO|2910828|1600000US2910828|02393723|Cameron city|25|A|17971256|699502|6.939|0.27|39.743977|-94.232367
MO|2910864|1600000US2910864|02393725|Campbell city|25|A|3637448|946|1.404|0.|36.493043|-90.076073
MO|2911026|1600000US2911026|02393727|Canalou city|25|A|521889|0|0.202|0.|36.754019|-89.686506
MO|2911134|1600000US2911134|02393734|Canton city|25|A|6029919|784622|2.328|0.303|40.129921|-91.527015
MO|2911242|1600000US2911242|02393737|Cape Girardeau city|25|A|75862102|151874|29.291|0.059|37.309389|-89.558359
MO|2911350|1600000US2911350|02393741|Cardwell city|25|A|1631183|0|0.63|0.|36.04748|-90.290905
MO|2911368|1600000US2911368|02393742|Carl Junction city|25|A|14323081|343313|5.53|0.133|37.164169|-94.542688
MO|2911566|1600000US2911566|02393754|Carrollton city|25|A|10796124|40518|4.168|0.016|39.363642|-93.49506
MO|2911638|1600000US2911638|02393758|Carterville city|25|A|6751906|0|2.607|0.|37.146587|-94.438807
MO|2911656|1600000US2911656|02393760|Carthage city|25|A|31220249|124271|12.054|0.048|37.147303|-94.323362
MO|2911692|1600000US2911692|02393761|Caruthersville city|25|A|13358462|202697|5.158|0.078|36.18126|-89.666904
MO|2911728|1600000US2911728|02393763|Carytown city|25|A|37379743|0|14.432|0.|37.26155|-94.33446
MO|2911890|1600000US2911890|02393769|Cassville city|25|A|8864477|2898|3.423|0.001|36.678302|-93.868105
MO|2911908|1600000US2911908|02393368|Castle Point CDP|57|S|1573931|0|0.608|0.|38.756823|-90.248501
MO|2912052|1600000US2912052|02396630|Catron town|43|A|962915|0|0.372|0.|36.61104|-89.706033
MO|2912079|1600000US2912079|02396631|Cave town|43|I|2451611|80876|0.947|0.031|39.023555|-91.041869
MO|2912358|1600000US2912358|02393369|Cedar Hill CDP|57|S|5944385|0|2.295|0.|38.357542|-90.640958
MO|2912376|1600000US2912376|02397581|Cedar Hill Lakes village|47|A|573240|85134|0.221|0.033|38.330291|-90.657516
MO|2912592|1600000US2912592|02393779|Center city|25|A|1055760|0|0.408|0.|39.509438|-91.529335
MO|2912664|1600000US2912664|02396636|Centertown town|43|A|2454656|0|0.948|0.|38.617995|-92.408952
MO|2912682|1600000US2912682|02393782|Centerview city|25|A|502064|0|0.194|0.|38.746032|-93.844304
MO|2912718|1600000US2912718|02393785|Centerville city|25|A|826077|9599|0.319|0.004|37.436682|-90.95968
MO|2912898|1600000US2912898|02393789|Centralia city|25|A|7541966|0|2.912|0.|39.210777|-92.13428
MO|2912988|1600000US2912988|02393794|Chaffee city|25|A|4648756|136599|1.795|0.053|37.181218|-89.661242
MO|2913006|1600000US2913006|02397596|Chain of Rocks village|47|A|475975|9279|0.184|0.004|38.915006|-90.802289
MO|2913015|1600000US2913015|02397597|Chain-O-Lakes village|47|A|216695|0|0.084|0.|36.534197|-93.724179
MO|2913060|1600000US2913060|02393795|Chamois city|25|A|959131|64737|0.37|0.025|38.673784|-91.772978
MO|2913078|1600000US2913078|02397599|Champ village|47|A|2071675|0|0.8|0.|38.744994|-90.453524
MO|2913330|1600000US2913330|02393802|Charlack city|25|A|701148|0|0.271|0.|38.702908|-90.342677
MO|2913366|1600000US2913366|02393804|Charleston city|25|A|12420480|143867|4.796|0.056|36.916934|-89.333912
